Nom,Classe_Sismique,longitude,latitude,PGA,Etat de Dommage,St_Dev_DR,Inspection_Priority,Priority_Rank,Replacement_cost,Economic_Loss,MRD_pour,F_PGA
Pont 49,B,-71.30350706,46.77179393,0.034599484,Aucun,0.001334664,Aucun,79,238829.27,1.841379407,0.000771002,0.71
Pont 50,B,-71.30682704,46.77753731,0.036712262,Aucun,0.001580009,Aucun,73,145425.59,1.526334386,0.001049564,0.71
Pont 51,B,-71.33768459,46.74913858,0.034485147,Aucun,0.001322051,Aucun,81,1285779.21,9.742773878,0.000757733,0.71
Pont 52,C,-71.21279217,46.86203498,0.04467749,Aucun,0.002715899,Aucun,67,878141.54,24.78154226,0.002822044,1
Pont 53,B,-71.22681443,46.85339129,0.033893491,Aucun,0.001257866,Aucun,83,633307.09,4.381378551,0.000691825,0.71
Pont 54,B,-71.17064526,46.87527134,0.024516699,Aucun,0.000477092,Aucun,91,536624.62,0.628697715,0.000117158,0.71
Pont 55,B,-71.16827283,46.87438559,0.024054042,Aucun,0.000449633,Aucun,92,595394.22,0.625643931,0.000105081,0.71
Pont 56,B,-71.32005764,46.77005716,0.037274604,Aucun,0.001649247,Aucun,72,201139.66,2.283178682,0.001135121,0.71
Pont 57,B,-71.33100614,46.75488206,0.034997323,Aucun,0.001379082,Aucun,76,1033395.87,8.45893483,0.000818557,0.71
Pont 58,D,-71.2919835,46.8092365,0.075608902,Aucun,0.010160374,Aucun,43,1256609.38,392.8911456,0.031265973,1.29
Pont 59,B,-71.38530452,46.77016478,0.051029742,Aucun,0.003860118,Aucun,60,2768480.3,148.3547608,0.005358707,0.71
Pont 60,D,-71.31865435,46.80877894,0.088256946,Aucun,0.000291791,Aucun,85,992060.04,2.816064377,0.00028386,1.29
Pont 61,C,-71.35216584,46.90788104,0.135653919,Aucun,0.011034964,Aucun,39,953141.84,421.1822688,0.044188834,1
Pont 62,B,-71.35603174,46.80183913,0.057007373,Aucun,0.000508881,Aucun,89,811491.33,1.516313305,0.000186855,0.71
Pont 63,B,-71.29641926,46.75642349,0.029759151,Aucun,2.87E-05,Aucun,101,288261.31,0.002868374,9.95E-07,0.71
Pont 64,E,-71.22953126,46.82062723,0.076338532,Aucun,0.008936834,Aucun,50,10457862.89,1960.438739,0.018746074,1.81
Pont 65,B,-71.34186722,46.83613055,0.066092571,Aucun,0.006273878,Aucun,55,1132601.88,109.0685566,0.009629911,0.71
Pont 66,D,-71.2509563,46.8128867,0.05996,Aucun,0.004898742,Aucun,58,2786374.63,168.3659344,0.006042473,1.29
Pont 67,C,-71.34621419,46.81657631,0.084374386,Aucun,0.011326783,Aucun,44,302005.48,88.43633392,0.029283023,1
Pont 68,B,-71.33129116,46.7776681,0.041837898,Aucun,0.00185137,Aucun,74,66430.77,0.640768392,0.000964566,0.71
Pont 69,C,-71.32954263,46.78489596,0.061609614,Aucun,0.005252029,Aucun,57,277221.84,19.09936351,0.006889559,1
Pont 70,D,-71.29337064,46.81891603,0.080747736,Aucun,0.010216658,Aucun,47,189261.99,45.64302018,0.024116316,1.29
Pont 71,B,-71.29190586,46.86551836,0.055313137,Aucun,0.003970551,Aucun,61,1140754.22,46.39605044,0.004067138,0.71
Pont 72,C,-71.3480138,46.84934583,0.104272635,Aucun,0.018265375,Aucun,32,3808132.68,2740.340551,0.071960217,1
Pont 73,C,-71.3478948,46.84928374,0.104159487,Aucun,0.018222168,Aucun,33,3808132.68,2728.155415,0.071640241,1
Pont 74,C,-71.2683815,46.80807492,0.050430912,Aucun,0.003103581,Aucun,68,6978167.65,178.3762037,0.002556204,1
Pont 75,C,-71.36775085,46.88367188,0.139923113,Aucun,0.033623053,Aucun,17,2514596.62,5710.207208,0.227082434,1
Pont 76,E,-71.22361509,46.81924335,0.072967182,Aucun,0.008011633,Aucun,53,8990544.09,1371.986634,0.015260329,1.81
Pont 77,B,-71.3182057,46.8189391,0.051662924,Aucun,0.003311793,Aucun,64,375409.76,10.84606943,0.002889128,0.71
Pont 78,D,-71.20295158,46.85069748,0.051777886,Aucun,0.003331587,Aucun,63,3301163.98,96.45242964,0.00292177,1.29
